Stkcd,Trddt,Opnprc,Hiprc,Loprc,Clsprc,Dnshrtrd,Dnvaltrd,Dretnd,Adjprcnd,Markettype,Trdsta,ChangeRatio
990001,2022-01-03,29.572148055546677,30.493043677217482,29.040887689463997,29.89396593878058,19086232,551811794.2970216,-0.006839553898505161,21.45415640430556,32,1,0.057666501581356173
990001,2022-01-04,29.5351530134495,30.03297263679632,27.44837086290054,27.853224244596564,21034162,566287960.9822909,-0.06858823514808526,28.78559003718754,32,1,0.02531481205015325
990001,2022-01-05,27.991823602517666,29.793679287509526,27.742759070269415,29.4669724618062,38993753,1203965574.1808426,0.0611207712027151,24.548205930025947,32,1,-0.07191800350195231
990001,2022-01-06,29.376643697380576,30.03016217240776,28.65701134216168,29.387720410126054,13470066,380232525.2076116,-0.006330019979120343,52.4244300058857,32,1,-0.018211485706566687
990001,2022-01-07,29.38254054794081,29.723774436533766,28.545717143720932,28.781477100324746,19785205,613177153.9341228,-0.01744308776568778,10.483127385871676,32,1,0.03027093160890263
990001,2022-01-10,28.14375064011249,28.94154226049099,27.570521692487304,28.28797067821873,20825188,554688178.2429459,-0.01967863448651363,24.099283571745335,32,1,-0.033893256092109726
990001,2022-01-11,28.092802260612107,29.4542146141845,28.004908771064724,29.29567404412334,25837297,746644948.9638009,0.03750777220333455,68.76013710604981,32,1,0.009929422297069989
990001,2022-01-12,29.584590415429247,30.447988065391275,27.854570921626944,28.790473958685432,86912432,2456405741.0683928,-0.02101700287666167,24.053564874195775,32,1,-0.08544590186892709
990001,2022-01-13,28.55561164240432,29.065785549214517,28.23660412494078,28.852103292037047,10588812,257475006.01626632,0.004466177212550464,69.0262478171636,32,1,-0.024376749860457347
990001,2022-01-14,28.633562215277045,29.78792698511125,28.44588330240519,29.770836681768117,20958296,632553518.5630728,0.027951234242042315,50.70254766398508,32,1,0.0009640774902141573
990001,2022-01-17,29.940958217262164,30.061576294954758,29.54402168603805,29.58446720753129,72991232,2312180752.595673,0.0020547631901815136,10.279349347989253,32,1,0.02329189822344279
990001,2022-01-18,30.135191212417155,30.557479817192913,29.1907822424745,29.849034947323318,12775731,338275706.80673814,0.0016855291640160914,19.011691638897855,32,1,-0.02053990753500122
990001,2022-01-19,29.668603602043117,30.274810560257613,28.922296788064575,29.35668129752599,54534588,1569375460.1166945,-0.015488731098808247,95.31935681497988,32,1,0.030562532361806526
990001,2022-01-20,29.083462202271363,29.775440766408106,28.69932092454115,29.324515527467497,21748817,661207069.1300647,3.732204504264009e-05,11.446801988641157,32,1,-0.05702153313987613
990001,2022-01-21,29.64614491082043,30.18865758227129,28.746602999579064,29.277096534062135,36679855,1082584278.5354,-0.005423405861007885,22.138836628796327,32,1,-0.009810473723825128
990001,2022-01-24,29.018229434717817,29.3253997004823,28.847836529325345,29.043430747598386,28285799,939762186.6561003,-0.0007480009440010817,33.52634787145025,32,1,0.0036489458979690774
990001,2022-01-25,29.105952155017377,29.322528568823806,28.671690594339474,29.066335417931885,25140379,662052248.9521178,-0.002493846326056664,36.716500965360396,32,1,-0.06003778842132555
990001,2022-01-26,29.60273875778114,29.687484184797377,29.494764902367347,29.637876649254135,12426808,346032380.9949485,0.017558635845739974,80.95772036227973,32,1,0.04383149430080335
990001,2022-01-27,29.669111955927633,29.78796767620242,28.647760834514365,28.838062103199015,18432903,556898632.0755508,-0.025742247765383263,17.753245692457334,32,1,0.007543604704590635
990001,2022-01-28,28.667309352734126,29.081902590800965,27.83340072624556,28.25921742279342,33368822,884461291.6206317,-0.01813889590371028,33.9585360489275,32,1,-0.04318646654076648
990001,2022-01-31,27.78517043359597,27.78517043359597,27.43691269626452,27.483074743285613,16801555,491131634.93755674,-0.029459112669000483,48.95298225073047,32,1,0.01702630551803378
990001,2022-02-01,27.41509586657128,28.135654149290062,25.91751256535122,26.573220551441675,10330816,316704457.9910194,-0.03104832247636783,26.26872823465349,32,1,-0.03339003399504525
990001,2022-02-02,26.561465811696152,27.055153323082525,25.908028578126608,26.457952861784168,12498693,328411681.2474531,-0.004486142936230245,18.5619724781989,32,1,-0.02667297113750098
990001,2022-02-03,26.343427794361826,26.475740925749136,26.19095040625469,26.23790297837221,43960412,1315024915.6559308,-0.007678919105856301,24.049872302278768,32,1,-0.05275874845382796
990001,2022-02-04,26.47448878112004,27.009016402315062,25.82003797395358,26.241755361278344,54522871,1419695294.699346,-0.003279014981816222,15.413148206713284,32,1,-0.01614884949564522
990001,2022-02-07,25.850607546661557,26.47703292035049,25.439428945767062,26.099251832248317,13221957,370039908.7107922,-0.00395515768340694,31.21156922873555,32,1,-0.08276374201003875
990001,2022-02-08,25.74891432183318,25.98227690878998,25.216698875972167,25.65624660989597,22146575,614913438.0476571,-0.02128592283062165,58.72727647586344,32,1,0.004784199763974118
990001,2022-02-09,25.331922007629874,25.63828889948388,23.516905477148228,23.819008643368438,45166583,1016568005.6931705,-0.06851513713258162,23.271025804645515,32,1,0.06411667056449956
990001,2022-02-10,23.74347461033333,25.094744142252697,23.580543413537832,24.77626533691228,23288289,595922405.0443255,0.04505122704140467,46.27084457791914,32,1,-0.019215343763700397
990001,2022-02-11,24.525072346797703,25.636448878558344,24.075006442283488,25.361798586796954,22718862,509718514.2626352,0.018960327157380316,9.424097537775475,32,1,-0.08662359394372751
990001,2022-02-14,24.958272466605173,25.557904041103985,24.635581463710686,25.1685328768108,26946273,695335587.3626742,-0.0038582466693491677,10.363811135888236,32,1,-0.02044490673302799
990001,2022-02-15,24.98538870870327,25.425940546521836,24.587235336660612,25.014523698871916,11246061,250684212.8773373,-0.007735329573339945,64.2815115681885,32,1,-0.005565549147049494
990001,2022-02-16,25.0588301572322,25.36362797398126,24.335638186775174,24.726946390003366,13840617,376371610.04068977,-0.012321197363932416,28.33303270974143,32,1,0.002470468448396548
990001,2022-02-17,24.491805013861377,24.88416809029444,23.252698396707935,23.56097087436802,31222474,773962319.2796514,-0.044802024352521834,40.173378415776234,32,1,-0.005436378076208635
990001,2022-02-18,23.838784979551026,24.30398094536728,23.288827726606442,23.680735843153833,24584127,585037665.1674967,0.003906111684438587,13.023948495258512,32,1,0.052149876249917154
990001,2022-02-21,23.1590309047789,23.93233210001264,22.772252591123014,23.450949257222323,28407609,658533759.9096692,-0.009369476445945808,17.90449084431285,32,1,-0.00987803120813926
990001,2022-02-22,23.631727897563614,23.631727897563614,23.377069663986312,23.556549123621426,22172778,475756875.9253789,0.0028666225728706967,61.610936463123174,32,1,-0.01742530754920589
990001,2022-02-23,23.322619675707053,23.87828788037072,23.16668156272006,23.731576159172715,9832495,271642734.8108242,0.007862190819184293,30.488492251521286,32,1,0.009612399310626152
990001,2022-02-24,23.79783618914146,24.34268654399137,22.210508648542675,22.76880297552469,27272324,595622613.0551398,-0.04051044243235281,45.25611792919678,32,1,0.013082653852235825
990001,2022-02-25,23.187393681247354,23.925821009114177,22.703994249940877,23.520779383775203,44065306,964155244.9638338,0.02929874526399829,31.74774685927263,32,1,-0.010789550571914736
990001,2022-02-28,23.42002176857589,23.980962539490232,23.057188250595516,23.551812635061783,29032229,639525327.1158104,0.003647680898839478,61.33953236521509,32,1,-0.011888015546676742
990001,2022-03-01,23.576541804349755,23.845910218180467,23.33885661777469,23.561762843151108,29114857,786295495.7503229,0.000641316666422721,22.630612788436444,32,1,-0.026661034019682346
990001,2022-03-02,23.736130374999423,24.288083970953558,23.36121344031738,23.976422235583534,9924536,263125183.59454194,0.016249779614524257,7.855778418390045,32,1,0.023399287105533094
990001,2022-03-03,23.650946167181424,24.175228151057432,23.209698138052854,23.917773422416264,18366562,458312057.4368357,-0.003966661965898069,17.823264266764575,32,1,-0.059420943444968885
