Stkcd,Trddt,Opnprc,Hiprc,Loprc,Clsprc,Dnshrtrd,Dnvaltrd,Dretnd,Adjprcnd,Markettype,Trdsta,ChangeRatio
990001,2022-01-03,31.649249557494695,32.30595694511059,31.235057943604883,31.994946331341875,18406669,569366072.7586155,8.439316263602705e-07,25.878791861004167,32,1,-0.0635092014089334
990001,2022-01-04,31.95615338153669,32.539985990428185,30.69083004943855,31.408108038612166,29457269,765881495.4893093,-0.020174606126140474,13.806136415313667,32,1,0.02683030195814807
990001,2022-01-05,31.23416968789543,32.073136212871326,30.467864032311937,31.1896714262446,10160749,303871043.25567096,-0.0010819267212313296,9.754866391861665,32,1,-0.024895198143091775
990001,2022-01-06,31.836233665569097,32.73376570168552,29.480856624758825,30.163231122421035,24132309,722290957.9088948,-0.02993577163600998,27.119710138993078,32,1,-0.017254296827628225
990001,2022-01-07,30.718313460736464,31.132001354514426,29.578536031685505,29.93689097681633,70979802,1803953626.8726745,-0.010734149065490958,32.602228671373524,32,1,-0.07035333680692238
990001,2022-01-10,30.089806055058197,30.482318425207495,29.31070535921846,29.77388378379725,26090650,809933857.1180992,-0.0054933129357126265,14.84230954475056,32,1,-0.02765064211921365
990001,2022-01-11,29.53984687928573,31.554399130251443,28.973725029941832,30.92334660951135,17272827,474849820.551337,0.03840630229592688,30.933186516512837,32,1,-0.003308355093066058
990001,2022-01-12,30.605906444876585,30.81031101917294,30.342060218674394,30.476580525255898,14108511,462863378.44273996,-0.012623226275706669,32.55062881644665,32,1,0.03069718778824928
990001,2022-01-13,30.925314923839974,31.34929209897267,29.876237197663198,30.313314729062707,15557415,506124129.8161452,-0.00872095105430624,8.73306046895693,32,1,-0.030995230323870956
990001,2022-01-14,30.288593298832982,30.767963854870327,29.28720622482213,29.64460563516589,19254900,472693041.5514275,-0.02195234753788574,18.50083887101939,32,1,0.057054774350412694
990001,2022-01-17,29.727088695917754,30.67249239596828,29.26512271285641,30.165641210125262,16416450,527064997.15091276,0.021697179321467804,39.8959795168064,32,1,-0.02785282776335972
990001,2022-01-18,29.81371284240818,29.950758391564605,29.570597333776753,29.827664417501033,37269899,1009467905.4495958,-0.015536023936857424,39.435831303794814,32,1,-0.027799741840367827
990001,2022-01-19,29.992389319182262,30.11130859767921,29.834750466082454,30.079327468005083,7548148,218910597.8856506,0.005718581400564282,16.062152768353734,32,1,0.0527034574812452
990001,2022-01-20,29.96508257849794,30.143819395110814,29.71741286250826,29.71741286250826,34454997,1145543875.3741217,-0.008317090679765389,34.5765951937978,32,1,0.004632564773309787
990001,2022-01-21,29.26792608995575,29.76502788871824,29.22112303713327,29.588079379934456,17747958,536061750.842894,-0.00333728840108315,56.71569161731682,32,1,-0.023047857429520098
